date,close-PETR4.SA
2021-02-09,27.540000915527344
2021-02-10,27.799999237060547
2021-02-11,28.079999923706055
2021-02-12,28.440000534057617
2021-02-18,29.270000457763672
2021-02-19,27.329999923706055
2021-02-22,21.670000076293945
2021-02-23,24.059999465942383
2021-02-24,24.399999618530273
2021-02-25,23.190000534057617
2021-02-26,22.239999771118164
2021-03-01,22.0
2021-03-02,21.989999771118164
2021-03-03,21.190000534057617
2021-03-04,22.219999313354492
2021-03-05,22.389999389648438
2021-03-08,21.100000381469727
2021-03-09,21.59000015258789
2021-03-10,22.34000015258789
2021-03-11,23.290000915527344
